@RELATION subject1act 

@ATTRIBUTE hipAccelSensor1	REAL 
@ATTRIBUTE hipAccelSensor2 	REAL 
@ATTRIBUTE class 	{walking,standing,running} 

@DATA 
593.468434,517.538148, 'walking'
599.314344,528.744676, 'walking'
601.886494,532.186370, 'walking'
594.883532,541.195056, 'walking'
587.047567,539.897815, 'walking'
581.949340,541.329086, 'walking'
582.181489,535.800480, 'walking'
585.194031,527.300844, 'walking'
595.982348,519.950364, 'walking'
603.186093,524.116072, 'walking'
604.432099,522.616436, 'walking'
601.891243,528.695500, 'walking'
592.960988,532.171390, 'walking'
586.398087,528.728116, 'walking'
586.259601,530.836809, 'walking'
579.380648,526.318602, 'walking'
579.372321,530.806713, 'walking'
583.702163,535.068186, 'walking'
591.292841,528.443873, 'walking'
600.893328,523.530714, 'walking'
606.283543,528.655614, 'walking'
603.835403,535.479269, 'walking'
609.923060,548.138165, 'walking'
603.907481,547.753465, 'walking'
604.356413,545.512361, 'walking'
601.117758,554.171006, 'walking'
600.529030,556.786100, 'walking'
596.061771,565.296644, 'walking'
605.678766,561.466772, 'walking'
615.261301,550.250396, 'walking'
596.970902,498.929584, 'standing'
581.547933,496.663315, 'standing'
576.201659,494.038093, 'standing'
587.200161,499.627827, 'standing'
577.465973,500.665154, 'standing'
581.505489,508.386715, 'standing'
572.161721,509.616375, 'standing'
580.163964,507.584133, 'standing'
559.002488,494.927474, 'standing'
575.433194,488.264862, 'standing'
590.876388,490.037666, 'standing'
608.704184,484.087312, 'standing'
621.125680,492.368819, 'standing'
617.577818,501.634633, 'standing'
616.007139,506.080491, 'standing'
615.598068,501.473637, 'standing'
601.712872,506.657328, 'standing'
596.546046,506.524063, 'standing'
596.750999,489.540884, 'standing'
589.421768,482.600068, 'standing'
600.106302,473.760647, 'standing'
604.955792,476.746485, 'standing'
616.443482,494.275701, 'standing'
607.456081,487.256240, 'standing'
607.072552,493.106500, 'standing'
598.078323,495.343130, 'standing'
599.759159,504.749059, 'standing'
575.703452,525.737850, 'standing'
573.617109,526.233295, 'standing'
564.830166,515.922194, 'standing'
578.058486,507.980294, 'standing'
591.677464,502.664905, 'standing'
609.016090,502.847540, 'standing'
634.151833,493.035295, 'standing'
646.730072,490.867669, 'standing'
640.655578,472.248868, 'standing'
635.060592,462.235196, 'standing'
614.650760,474.265630, 'standing'
592.537672,500.440955, 'standing'
592.713916,529.480209, 'standing'
590.551221,537.334281, 'standing'
561.181551,516.189181, 'standing'
530.821985,489.532698, 'standing'
480.545531,468.703992, 'standing'
542.686436,493.782572, 'standing'
592.005898,505.175235, 'standing'
616.109022,518.147853, 'standing'
618.573219,517.906718, 'standing'
659.182627,488.105349, 'standing'
657.600828,499.279228, 'standing'
615.303088,506.582003, 'standing'
583.403321,479.394110, 'standing'
567.965924,483.303396, 'standing'
541.724531,488.290814, 'standing'
525.215821,492.772425, 'standing'
544.323574,480.733915, 'standing'
552.695313,482.909235, 'standing'
541.277848,481.603265, 'standing'
540.087420,480.314087, 'standing'
545.719743,492.531187, 'standing'
534.139141,504.188282, 'standing'
557.395000,510.835755, 'standing'
563.410342,513.365084, 'standing'
580.360559,508.836281, 'standing'
586.818223,513.427438, 'standing'
605.476621,514.159950, 'standing'
602.274717,510.311157, 'standing'
601.358657,510.460481, 'standing'
607.577271,501.321350, 'standing'
598.218002,501.075204, 'standing'
593.352156,503.419390, 'standing'
584.711119,499.983275, 'standing'
585.408719,495.083603, 'standing'
576.051773,488.968850, 'standing'
575.160570,494.787463, 'standing'
572.065930,496.240095, 'standing'
577.214668,501.645276, 'standing'
576.825066,501.051304, 'standing'
581.308749,510.199814, 'standing'
586.274088,514.264954, 'standing'
613.955286,515.614369, 'standing'
616.564604,501.467974, 'standing'
631.786121,506.152854, 'standing'
656.784760,499.458671, 'standing'
641.050563,495.586127, 'standing'
627.990982,489.380080, 'standing'
604.751131,490.095850, 'standing'
582.004514,494.139082, 'standing'
567.066262,491.411436, 'standing'
559.305221,491.873997, 'standing'
566.076496,497.023998, 'standing'
577.269501,505.394725, 'standing'
584.280900,511.666480, 'standing'
596.291607,509.602420, 'standing'
607.053287,513.949602, 'standing'
609.593017,514.141176, 'standing'
610.772923,508.367295, 'standing'
622.693328,513.169623, 'standing'
612.897543,500.742522, 'standing'
606.713592,501.107628, 'standing'
597.178787,502.014196, 'standing'
584.932067,498.068787, 'standing'
584.073053,502.840759, 'standing'
586.291316,491.571624, 'standing'
596.684901,493.130275, 'standing'
603.717463,488.341450, 'standing'
614.176759,493.507379, 'standing'
616.181692,493.218951, 'standing'
600.385288,500.086407, 'standing'
582.348163,494.322499, 'standing'
567.446756,491.700557, 'standing'
569.076511,481.402023, 'standing'
596.520357,477.514564, 'standing'
579.349015,509.588676, 'standing'
546.217946,516.757877, 'standing'
578.377302,498.395647, 'standing'
571.498945,491.353174, 'standing'
567.188967,488.204855, 'standing'
555.794362,490.276830, 'standing'
557.769403,488.318242, 'standing'
534.088192,495.056924, 'standing'
534.599985,492.892030, 'standing'
549.002228,487.601138, 'standing'
555.905049,492.986225, 'standing'
557.668375,493.781254, 'standing'
562.498468,492.118807, 'standing'
569.202016,494.041051, 'standing'
581.859835,496.094976, 'standing'
584.597997,496.292716, 'standing'
566.379764,496.495551, 'standing'
559.009427,492.122580, 'standing'
564.841092,497.072866, 'standing'
